Name,Type_of_Utility,Number_of_Ratings,Rating,Longitude,Latitude,nearest_station,اسم المحطة,geometry,neighborhood,English_name,Final Station,Path,Duration(m)
,restaurant,67.0,3.9,46.7173591,24.6461913,National Museum,المتحف الوطني,POINT (46.7173591 24.6461913),حي العمل,Kusina Square,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.,51
فريج صويلح,restaurant,9.0,3.9,46.6281431,24.8122257,Dr. Sulaiman Al Habib,د.سليمان الحبيب,POINT (46.6281431 24.8122257),حي الصحافة,,د.سليمان الحبيب,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة د.سليمان الحبيب.,28
,store,36.0,3.7,46.6791763,24.7427831,King Abdulaziz Road,طريق الملك عبدالعزيز,POINT (46.6791763 24.7427831),حي الورود,Khafif,طريق الملك عبدالعزيز,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة طريق الملك عبدالعزيز.,41
,restaurant,205.0,3.8,46.6963365,24.6669554,Al Muorabba,المربع,POINT (46.6963365 24.6669554),حي النموذجية,Anardana,المربع,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المربع.,43
,bakery,6564.0,4.5,46.6423256,24.7266248,KACST,المدينة التقنية,POINT (46.6423256 24.7266248),حي الملك فيصل,Arcomi,المدينة التقنية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، وأخرج عند محطة المدينة التقنية.,43
,restaurant,11.0,4.6,46.642252,24.76245,KAFD,المركز المالي,POINT (46.642252 24.76245),حي الغدير,Subway,المركز المالي,اركب المترو من المحطة الحالية، وأخرج عند محطة المركز المالي.,22
مطعم ركن جود الوطن للاكلات الشعبية,restaurant,12.0,4.2,46.7184011,24.6473054,National Museum,المتحف الوطني,POINT (46.7184011 24.6473054),حي العمل,,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.,51
,meal_delivery,1482.0,4.1,46.7012342,24.6611855,Passport Department,الجوازات,POINT (46.7012342 24.6611855),حي النموذجية,Maestro Pizza,الجوازات,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الجوازات.,48
كاريبو كوفي,cafe,572.0,4.4,46.658483,24.7377907,King Fahd District 2,حي الملك فهد 2,POINT (46.658483 24.7377907),حي الملك فيصل,Caribou Coffee,حي الملك فهد 2,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة حي الملك فهد 2.,32
,cafe,345.0,4.3,46.774149,24.774531,Al Hamra,الحمراء,POINT (46.774149 24.774531),حي الحمراء,Costa Coffee,الحمراء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الحمراء.,30
,restaurant,4.0,4.5,46.6467816,24.6022644,Aishah bint Abi Bakr st.,شارع عائشة بنت أبي بكر,POINT (46.6467816 24.6022644),حي البديعة,Malaz restaurant,شارع عائشة بنت أبي بكر,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة شارع عائشة بنت أبي بكر.,75
طعم العجين-,restaurant,47.0,5.0,46.7021481,24.7097232,As Sulimaniyah,السليمانية,POINT (46.7021481 24.7097232),حي الملك عبدالعزيز,taste of dough,السليمانية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة stc انتقل إلى المسار الأحمر، بعدها في محطة وزارة التعليم انتقل إلى المسار الأخضر،  وأخرج عند محطة السليمانية.,49
جان برجر‎,restaurant,973.0,3.8,46.816208,24.725404,As Salam,السلام,POINT (46.816208 24.725404),حي النسيم الغربي,Jan Burger,السلام,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة السلام.,39
,restaurant,846.0,4.1,46.798076,24.6832467,Harun Ar Rashid Road,طريق هارون الرشيد,POINT (46.798076 24.6832467),حي الروابي,Mzaq Warg Enab,طريق هارون الرشيد,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة النسيم انتقل إلى المسار البرتقالي ،وأخرج عند محطة طريق هارون الرشيد.,48
,cafe,12.0,2.3,46.7134912,24.6449254,National Museum,المتحف الوطني,POINT (46.7134912 24.6449254),حي الفوطة,Barn's,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.,51
فود ترك إيمان,restaurant,197.0,5.0,46.8332211,24.7906142,King Fahad Sport City,مدينة الملك فهد الرياضية,POINT (46.8332211 24.7906142),حي المعيزلة,,مدينة الملك فهد الرياضية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة مدينة الملك فهد الرياضية.,42
فوال غيام,restaurant,3.0,5.0,46.7327566,24.6200221,Skirinah,سكيرينة,POINT (46.7327566 24.6200221),حي غبيرة,,سكيرينة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة سكيرينة.,58
اسماك الدمياطي,restaurant,64.0,4.4,46.7211105,24.6225201,Al Owd,العود,POINT (46.7211105 24.6225201),حي البطيحا,,العود,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العود.,57
مطعم بديع الجزيره اللبناني,restaurant,52.0,3.4,46.638467,24.5976085,Aishah bint Abi Bakr st.,شارع عائشة بنت أبي بكر,POINT (46.638467 24.5976085),حي البديعة,,شارع عائشة بنت أبي بكر,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة شارع عائشة بنت أبي بكر.,75
,restaurant,13.0,3.2,46.7168528,24.6469026,National Museum,المتحف الوطني,POINT (46.7168528 24.6469026),حي العمل,Special Inihaw Eastern,المتحف الوطني,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة المتحف الوطني.,51
,restaurant,84.0,4.1,46.775533,24.7781793,Al Hamra,الحمراء,POINT (46.775533 24.7781793),حي الحمراء,Koshary Cairo,الحمراء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الحمراء.,30
,restaurant,173.0,4.2,46.6991958,24.6767635,Ministry of Interior,وزارة الداخلية,POINT (46.6991958 24.6767635),حي الوزارات,Aliwan Restaurant,وزارة الداخلية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة وزارة الداخلية.,46
هرفي,restaurant,32.0,3.8,46.6548831,24.6086521,Dhahrat Al Badiah,ظهرة البديعة,POINT (46.6548831 24.6086521),حي البديعة,,ظهرة البديعة,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة قصر الحكم انتقل إلى المسار البرتقالي، وأخرج عند محطة ظهرة البديعة.,73
,meal_delivery,495.0,4.3,46.7307162,24.7805577,Granadia,غرناطية,POINT (46.7307162 24.7805577),حي الشهداء,Texas Chicken Granada Mall,غرناطية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة غرناطية.,20
مطبخ زاوية الخيمة,restaurant,28.0,3.8,46.7957175,24.7805923,Al Khaleej,الخليج,POINT (46.7957175 24.7805923),حي اشبيلية,,الخليج,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، ثم في محطة الحمراء انتقل إلى المسار الأحمر، وأخرج عند محطة الخليج.,36
بوفية زهرة الرياض,restaurant,53.0,4.0,46.7757943,24.5628133,Ad Dar Al Baida,الدار البيضاء,POINT (46.7757943 24.5628133),حي الدار البيضاء,,الدار البيضاء,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة الدار البيضاء.,78
,restaurant,697.0,4.5,46.6390302,24.7631218,KAFD,المركز المالي,POINT (46.6390302 24.7631218),حي الغدير,SUSHISAMBA Riyadh,المركز المالي,اركب المترو من المحطة الحالية، وأخرج عند محطة المركز المالي.,22
خلود كعبي للاسماك الطازجة,restaurant,51.0,4.0,46.7093326,24.6502747,Ministry of Finance,وزارة المالية,POINT (46.7093326 24.6502747),حي الوشام,,وزارة المالية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، ثم في محطة المتحف الوطني انتقل إلى المسار الأخضر، وأخرج عند محطة وزارة المالية.,57
&,meal_takeaway,183.0,4.6,46.7948883,24.7508127,Al Andalus,الأندلس,POINT (46.7948883 24.7508127),حي المنار,Crunch More,الأندلس,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة سابك بدّل إلى المسار البنفسجي، وأخرج عند محطة الأندلس.,32
,restaurant,9.0,4.6,46.7643222,24.5811558,Al Aziziah,العزيزية,POINT (46.7643222 24.5811558),حي العزيزية,Unique Burger,العزيزية,اركب المترو من المحطة الحالية، وعند الوصول إلى محطة المركز المالي بدّل إلى المسار الأزرق، وأخرج عند محطة العزيزية.,71
